,0.7367347870505897,0.8000086869052582,0.868716816924144,0.9433258917802092,1.0384678567860421,1.1589698549675345,1.2934546947659762,1.44354492072532,1.5892005137748781,1.725823597954066,1.8741921270716624,2.0353158534519538
0.7367347870505897,3,3,3,2,2,2,3,3,3,3,3,3
0.8000086869052582,3,3,3,2,2,2,3,3,3,3,3,3
0.868716816924144,3,3,3,2,2,2,3,3,3,3,3,3
0.9433258917802092,2,2,2,2,2,2,2,2,2,2,2,2
1.0384678567860421,2,2,2,2,4,4,4,4,4,4,4,4
1.1589698549675345,2,2,2,2,4,4,4,4,4,4,4,4
1.2934546947659762,3,3,3,2,4,4,5,5,5,5,5,5
1.44354492072532,3,3,3,2,4,4,5,5,5,5,5,5
1.5892005137748781,3,3,3,2,4,4,5,5,5,5,5,5
1.725823597954066,3,3,3,2,4,4,5,5,5,5,5,5
1.8741921270716624,3,3,3,2,4,4,5,5,5,5,5,5
2.0353158534519538,3,3,3,2,4,4,5,5,5,5,5,5
